Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.001;40000;0;0.002;100000;0;0.003;160000;0
100000;0.007;400000;0;0.021;1200000;0;0.028;1600000;0
500000;0.036;2000000;0;0.124;7000000;0;0.141;8000000;0
