Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.006;19600555;260156469840;0.111;19610554;260206474839;0.120;19620553;260256484837
100000;0.055;20244753;260258311085;11.413;20344752;265258361084;11.385;20444751;270258461082
500000;0.275;24114654;270269506772;284.300;24614653;395269756771;282.820;25114652;520270256769
