Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.122;24906220;24916214;0.000;0;10000;0.233;49995000;49995001
100000;11.593;2475929647;2476029643;0.000;0;100000;23.712;4999950000;4999950001
500000;305.129;62013628923;62014128917;0.003;0;500000;593.499;124999750000;124999750001
