Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.007;46033;151042;0.004;5904;123630;0.004;10904;123642
100000;0.054;620268;1880300;0.043;65535;1568945;0.044;115534;1568960
500000;0.265;3701415;9928407;0.177;262143;8975731;0.178;512142;8975748
