Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.179;24906220;49974497;0.000;0;9999;0.246;49995000;49995000
100000;27.566;2469569037;4999431329;0.000;0;99999;24.477;4999950000;4999950000
500000;713.881;61770261875;124987061797;0.001;0;499999;611.901;124999750000;124999750000
