Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.001;101445;172514;0.000;0;75243;0.000;53704;120190
100000;0.013;1143596;2071101;0.003;0;967146;0.006;619654;1533494
500000;0.066;6498886;11872074;0.019;0;5601426;0.043;3451804;8622570
