Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.049;25151809;138521;0.000;0;150486;0.111;49995000;75243
100000;5.012;2494386736;1791662;0.006;0;1934292;9.952;4999950000;967146
500000;123.763;62395271942;10396004;0.035;0;11202852;247.895;124999750000;5601426
