Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.096;9906;49995000;0.094;0;49995000;0.128;5000;49995000
100000;9.424;98966;4999950000;9.365;0;4999950000;10.255;50000;4999950000
500000;233.557;495030;124999750000;233.955;0;124999750000;243.546;250000;124999750000
