Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.178;24906220;49995000;0.100;0;49995000;0.219;49995000;49995000
100000;25.131;2474116843;4999950000;10.006;0;4999950000;21.735;4999950000;4999950000
500000;650.746;61855084961;124999750000;250.110;0;124999750000;544.545;124999750000;124999750000
