Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.026;267232;133616;0.027;534464;267232;0.026;801696;400848
100000;0.272;4139552;2069776;0.266;7477408;3738704;0.258;10815264;5407632
500000;1.331;29766688;14883344;1.281;48718112;24359056;1.263;67669536;33834768
