Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.002;123206;117090;0.001;131956;122172;0.001;116696;113322
100000;0.016;1561688;1500672;0.012;1650854;1556076;0.012;1497434;1463263
500000;0.074;8947158;8640970;0.060;9355700;8914996;0.063;8668450;8488715
