Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.006;46347;139120;0.003;5904;123630;0.003;10903;123642
100000;0.054;628977;1699559;0.044;65535;1568945;0.044;115533;1568960
500000;0.264;3721235;9549326;0.228;262143;8975731;0.186;512141;8975748
