Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.050;25406614;118900;0.000;0;123617;0.104;49995000;113631
100000;5.005;2519561748;1521878;0.004;0;1568929;9.848;4999950000;1468946
500000;125.165;63020254268;8770111;0.025;0;8975713;248.110;124999750000;8475732
