Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.050;25151809;138521;0.001;0;150486;0.097;49995000;75243
100000;5.119;2493194653;1794712;0.006;0;1934292;9.983;4999950000;967146
500000;124.056;62542608943;10406862;0.037;0;11202852;250.176;124999750000;5601426
