Tamanho;Aleatorio_Tempo(s);Aleatorio_Trocas;Aleatorio_Comp;Crescente_Tempo(s);Crescente_Trocas;Crescente_Comp;Decrescente_Tempo(s);Decrescente_Trocas;Decrescente_Comp
10000;0.010;46223;92904;0.008;52127;104712;0.008;63031;126520
100000;0.094;684972;1371020;0.082;750507;1502090;0.086;866041;1733158
500000;0.573;4570696;9143216;0.380;4832839;9667502;0.358;5344981;10691786
